"id","term_taxonomy_id","category","post_title","post_name","post_author","comment_status","ping_status","post_status","post_date","publish","post_mime_type","guid"
"736","7","membership","2024 Fellowship Application Pack","2024 Fellowship Application Pack","1","open","closed","inherit","2024/10/11","yes","application/pdf","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/2024 Fellowship Application Pack.pdf"
"737","7","membership","2024 Fellowship Guidelines","2024 Fellowship Guidelines","1","open","closed","inherit","2024/10/11","yes","application/pdf","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/2024 Fellowship Guidelines.pdf"
"738","9","general","AE Final Slides 30 March 2023","AE Final Slides 30 March 2023","1","open","closed","inherit","2023/04/19","yes","application/pdf","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/AE Final Slides 30 March 2023.pdf"
"739","9","general","AE Synopsis 30 March 2023","AE Synopsis 30 March 2023","1","open","closed","inherit","2023/04/19","yes","application/pdf","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/AE Synopsis.pdf"
"740","6","past_seminars","IIPM April 2024 - Slides - Q&A","IIPM April 2024 - Slides - Q&A","1","open","closed","inherit","2024/04/25","yes","application/ppt","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/Auto Enrolment April 2024 with Q&A_25.04.2024_0.pptx"
"741","6","past_seminars","IIPM May 2024 - Auto Enrolment - Slides","IIPM May 2024 - Auto Enrolment - Slides","1","open","closed","inherit","2024/05/24","yes","application/pdf","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/Auto Enrolment May 2024 v2.pdf"
"742","6","past_seminars","IIPM May Webinar Q&A follow up","IIPM May Webinar Q&A follow up","1","open","closed","inherit","2024/06/20","yes","application/pdf","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/Auto Enrolment Q&A May 2024.pdf"
"743","9","general","Cert HDip Information for Employers","Cert HDip Information for Employers","1","open","closed","inherit","2022/07/06","yes","application/pdf","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/Cert HDip Information for Employers.pdf"
"744","9","general","Certificate in Law & Governance for Trustees (QPT) timetable - Autumn 2023 intake","Certificate in Law & Governance for Trustees (QPT) timetable - Autumn 2023 intake","1","open","closed","inherit","2023/07/05","yes","application/pdf","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/CLGT PT Timetable for Autumn 2023 GC IIPM.pdf"
"745","9","general","Certificate Timetable Spring 2024","Certificate Timetable Spring 2024","1","open","closed","inherit","2024/02/01","yes","application/pdf","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/CPII Springboard Feb 2024 Intake AY2324 S2.pdf"
"746","9","general","Higher Diploma & Cert timetable - Sept 2023 intake","Higher Diploma & Cert timetable - Sept 2023 intake","1","open","closed","inherit","2023/07/05","yes","application/pdf","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/HDPM-CPII  PT Timetable 1 for Sept 23 Intake AY2324 S1_0.pdf"
"747","6","past_seminars","How to download your CPD certificate","How to download your CPD certificate","1","open","closed","inherit","2021/12/15","yes","application/pdf","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/How to download your CPD certificate.pdf"
"748","7","membership","How to pay your IIPM annual subscription","How to pay your IIPM annual subscription","1","open","closed","inherit","2022/03/10","yes","application/pdf","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/How to pay your IIPM annual subscription online.pdf"
"749","9","general","IIPM 2022 Full Accounts","IIPM 2022 Full Accounts","1","open","closed","inherit","2023/04/05","yes","application/pdf","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/IIPM 2022 Signed Full Accounts.pdf"
"750","9","general","IIPM 2023 Financial Statements","IIPM 2023 Financial Statements","1","open","closed","inherit","2024/03/26","yes","application/pdf","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/IIPM 2023 Financial Statements (Signed).pdf"
"751","9","general","IIPM AGM Minutes 2023","IIPM AGM Minutes 2023","1","open","closed","inherit","2024/03/26","yes","application/pdf","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/IIPM AGM Minutes 2023.pdf"
"752","6","past_seminars","IIPM April 2023 Webinar","IIPM April 2023 Webinar","1","open","closed","inherit","2023/04/21","yes","application/pdf","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/IIPM April Webinar Slides FINAL_0.pdf"
"753","10","programmes","IIPM Course Brochure 2024 v2","IIPM Course Brochure 2024 v2","1","open","closed","inherit","2024/08/15","yes","application/pdf","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/IIPM Course Brochure 2024 v2.pdf"
"754","10","programmes","IIPM Course Brochure 2024","IIPM Course Brochure 2024","1","open","closed","inherit","2024/07/29","yes","application/pdf","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/IIPM Course Brochure 2024.pdf"
"755","6","past_seminars","IIPM CPD Codes 2024","IIPM CPD Codes 2024","1","open","closed","inherit","2024/12/05","yes","application/pdf","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/IIPM CPD 2024_Full List.pdf"
"756","6","past_seminars","IIPM CPD Request Form","IIPM CPD Request Form","1","open","closed","inherit","2021/06/30","yes","application/doc","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/IIPM CPD Accreditation Request Form 2021.docx"
"757","6","past_seminars","IIPM CPD Codes 2023","IIPM CPD Codes 2023","1","open","closed","inherit","2023/12/12","yes","application/pdf","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/IIPM CPD Events 2023_0.pdf"
"758","9","general","IIPM December Webinar","IIPM December Webinar","1","open","closed","inherit","2021/12/02","yes","application/pdf","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/IIPM December 2021.pdf"
"759","6","past_seminars","IIPM December 2024 Seminar - Slides","IIPM December 2024 Seminar - Slides","1","open","closed","inherit","2024/12/12","yes","application/pdf","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/IIPM December Final 2024 Slides.pdf"
"760","6","past_seminars","IIPM December 2023 Seminar","IIPM December 2023 Seminar","1","open","closed","inherit","2023/12/08","yes","application/pdf","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/IIPM Ethics 2023 EH Slides.pdf"
"761","6","past_seminars","IIPM February 2025 Webinar - Slides","IIPM February 2025 Webinar - Slides","1","open","closed","inherit","2025/02/13","yes","application/pdf","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/IIPM February 2025 FINAL SLIDES.pdf"
"762","6","past_seminars","IIPM March 2025 Webinar - Slides","IIPM March 2025 Webinar - Slides","1","open","closed","inherit","2025/03/21","yes","application/pdf","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/IIPM Final Slides March 2025.pdf"
"763","6","past_seminars","IIPM June 2023 Seminar - Delegate Slides","IIPM June 2023 Seminar - Delegate Slides","1","open","closed","inherit","2023/06/21","yes","application/pdf","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/IIPM June Seminar SLIDES.pdf"
"764","6","past_seminars","IIPM March 2023 Webinar","IIPM March 2023 Webinar","1","open","closed","inherit","2023/03/10","yes","application/pdf","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/IIPM March Webinar Slides.pdf"
"765","6","past_seminars","IIPM & APLI May 2023 Webinar","IIPM & APLI May 2023 Webinar","1","open","closed","inherit","2023/05/26","yes","application/pdf","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/IIPM May Webinar - Delegate Slides.pdf"
"766","9","general","IIPM Inaugural Annual Conference 2019","IIPM Inaugural Annual Conference 2019","1","open","closed","inherit","2019/11/15","yes","application/pdf","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/IIPM November Conference .pdf"
"767","6","past_seminars","IIPM November 2023 webinar","IIPM November 2023 webinar","1","open","closed","inherit","2023/11/10","yes","application/pdf","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/IIPM November FINAL SLIDES.pdf"
"768","9","general","IIPM October Seminar 2019","IIPM October Seminar 2019","1","open","closed","inherit","2020/01/07","yes","application/pdf","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/IIPM October Seminar.pdf"
"769","9","general","Resetting your password on the IIPM portal","Resetting your password on the IIPM portal","1","open","closed","inherit","2019/12/16","yes","application/pdf","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/IIPM Portal Password Reset Procedure.pdf"
"770","9","general","IIPM Privacy Notice","IIPM Privacy Notice","1","open","closed","inherit","2018/05/25","yes","application/pdf","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/IIPM Privacy Notice.pdf"
"771","6","past_seminars","IIPM September webinar - Slides","IIPM September webinar - Slides","1","open","closed","inherit","2024/10/09","yes","application/pdf","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/IIPM September 2024 Webinar FINAL.pdf"
"772","6","past_seminars","IIPM September 2023 webinar","IIPM September 2023 webinar","1","open","closed","inherit","2023/09/14","yes","application/pdf","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/IIPM September FINAL SLIDES_1.pdf"
"773","9","general","IIPM & SoA Webinar October 2021 slides","IIPM & SoA Webinar October 2021 slides","1","open","closed","inherit","2021/11/04","yes","application/pdf","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/IIPM SoA Slides Oct-21.pdf"
